Name,Born,Height,Weight,Division,Reach,Style
Mark Muñoz,"(1978-02-09) February 9, 1978 (age 41)Yokosuka, Japan",6 ft 0 in (1.83 m),185 lb (84 kg; 13 st 3 lb),Middleweight (2009 – 2015)  Light Heavyweight (2007–2009),72 in (180 cm)[1],"Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Luke Barnatt,"(1988-04-13) 13 April 1988 (age 31)Redbridge, London, England[1]",6 ft 6 in (1.98 m),185 lb (84 kg; 13.2 st),Middleweight,80.0 in (203 cm),Not Available
Zhang Lipeng,"(1990-05-03) May 3, 1990 (age 29)",5 ft 11 in (180 cm),Not Available,"Welterweight, Lightweight",Not Available,"Muay Thai, BJJ, Shuai Jiao"
Royston Wee,"(1986-11-15) November 15, 1986 (age 32)Singapore",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),Bantamweight,Not Available,Not Available
Hatsu Hioki,"Hioki Hatsu (1983-07-18) July 18, 1983 (age 35)Nagoya, Aichi, Japan",5 ft 11 in (1.80 m),145 lb (66 kg; 10.4 st)[1],Featherweight,73 in (185 cm),Not Available
Lisa Ellis,"Lisa Ward (1982-11-15) November 15, 1982 (age 36)Woodinville, Washington, U.S.",5 ft 4 in (1.63 m),110 lb (50 kg; 7.9 st),Not Available,Not Available,Grappling[1]
Dylan Andrews,"(1979-11-15) 15 November 1979 (age 39)Wellington, New Zealand",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),WelterweightMiddleweight,74 in (188 cm),Not Available
Vik Grujic,"(1976-10-28) 28 October 1976 (age 42)Melbourne, Australia",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight  Welterweight,Not Available,Not Available
Alptekin Özkılıç,"Alptekin Özkılıç (1986-03-27) March 27, 1986 (age 33)Istanbul, Turkey",5 ft 5 in (165 cm),125 lb (57 kg; 8 st 13 lb),BantamweightFlyweight,65.0 in (165 cm)[1],Wrestling
Quinton Jackson,"Quinton Ramone Jackson (1978-06-20) June 20, 1978 (age 41)Memphis, Tennessee, U.S.",6 ft 1 in (185 cm),253 lb (115 kg; 18 st 1 lb)[1],"Heavyweight (1999–2000, 2016–present)Light heavyweight (2000–2002, 2004–2015)Middleweight (2003)",73 in (185 cm),"Kickboxing, Wrestling"
Fábio Maldonado,"Fábio Rogerio Maldonado (1980-03-17) March 17, 1980 (age 39)Sorocaba, São Paulo, Brazil",6 ft 1 in (1.85 m),220.5 lb (100.0 kg; 15.75 st)[2],Light heavyweight Heavyweight,75 in (190 cm)[3],"Boxing, Brazilian Jiu-Jitsu"
David Michaud,"David Michaud (1988-11-10) November 10, 1988 (age 30)Pine Ridge, South Dakota, United States",5 ft 9 in (1.75 m),170.8 lb (77 kg; 12 st 3 lb),WelterweightLightweight,72.0 in (183 cm)[1],Not Available
Chris Clements,"Christopher Clements (1976-02-09) February 9, 1976 (age 43)Chatham, Ontario, Canada",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st 2 lb),Welterweight,70.0 in (178 cm)[1][2],Not Available
Jessica Rakoczy,"(1977-04-14) April 14, 1977 (age 42)Hamilton, Ontario, Canada",5 ft 8 in (173 cm),115 lb (52 kg; 8 st 3 lb),Lightweight (boxing)Flyweight (MMA)Strawweight (MMA) Bantamweight,68.0 in (173 cm)[1],Boxing
Jimy Hettes,"James Michael Hettes (1987-06-09) June 9, 1987 (age 32)Kingston, Pennsylvania",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight,71 in (180 cm),Not Available
Mirko Cro Cop,"Mirko Filipović (1974-09-10) 10 September 1974 (age 44)Vinkovci, SR Croatia, SFR Yugoslavia",6 ft 2 in (1.88 m)[1],234.5 lb (106.4 kg; 16.75 st),Heavyweight,73 in (185 cm)[2],"Kickboxing, Boxing, Taekwondo"
Seth Baczynski,"Seth Baczynski (1981-11-26) November 26, 1981 (age 37)Honolulu, Hawaii, United States",6 ft 3 in (1.91 m),170 lb (77 kg; 12 st),Middleweight  Welterweight,76 in (193 cm)[1],Not Available
Robbie Peralta,"(1986-03-14) March 14, 1986 (age 33)Escondido, California, United States",5 ft 7 in (1.70 m),155 lb (70 kg; 11 st 1 lb),LightweightFeatherweightBantamweightFlyweight[1],69 in (175 cm)[2],Not Available
Josh Koscheck,"Josh Koscheck (1977-11-30) November 30, 1977 (age 41)Waynesburg, Pennsylvania, U.S.",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st 2 lb),MiddleweightWelterweight,73 in (185 cm),Not Available
Shayna Baszler,"Shayna Andrea Baszler (1980-08-08) August 8, 1980 (age 38)Sioux Falls, South Dakota, U.S.",Not Available,Not Available,BantamweightFeatherweightLightweight,Not Available,Not Available
Cain Carrizosa,"(1986-07-22) July 22, 1986 (age 32)Visalia, California, United States",5 ft 8 in (1.73 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
