Name,Born,Height,Weight,Division,Reach,Style
Myles Jury,"Myles Jury (1988-10-31) October 31, 1988 (age 30)Hazel Park, Michigan, United States",5 ft 11 in (1.80 m),145 lb (66 kg; 10.4 st),"Featherweight (2017–2019)  Lightweight (2008–2015, 2019–present)",73 in (185 cm)[1],Not Available
Manny Bermudez,"(1994-07-19) July 19, 1994 (age 24)Boston, Massachusetts, United States[1]",5 ft 10 in (1.78 m)[1],135 lb (61 kg; 9 st 9 lb),FeatherweightBantamweight,64 in (163 cm),Not Available
Ashlee Evans-Smith,"(1987-07-09) July 9, 1987 (age 32)Ukiah, California",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Flyweight  Bantamweight  Featherweight,67 in (170 cm),Not Available
Scott Holtzman,"(1983-09-30) September 30, 1983 (age 35)Knoxville, Tennessee, United States",5 ft 9 in (1.75 m)[1],156 lb (71 kg; 11.1 st)[1],Lightweight,70 in (178 cm)[2],Not Available
Luke Sanders,"Luke Sanders (1985-12-12) December 12, 1985 (age 33)Nashville, Tennessee, United States",5 ft 7 in (1.70 m),135 lb (61 kg; 9 st 9 lb),FeatherweightBantamweight,71 in (180 cm)[1],Not Available
Renan Barão,"Renan do Nascimento Mota Pegado (1987-01-31) January 31, 1987 (age 32)Natal, Rio Grande do Norte, Brazil",5 ft 6 in (1.68 m)[1],135 lb (61 kg; 9 st 9 lb),"Bantamweight (2007-2015, 2018-present)Featherweight (2005-2007, 2016-2017)",70 in (178 cm)[2],"Brazilian Jiu-Jitsu, Muay Thai"
Emily Whitmire,"(1991-05-24) May 24, 1991 (age 28)Portland, Oregon, United States[1]",5 ft 5 in (1.65 m),115 lb (52 kg; 8 st 3 lb),Strawweight  Flyweight,63[1] in (160 cm),Not Available
Aleksandra Albu,"Aleksandra Albu (1990-07-14) July 14, 1990 (age 28)Vulcănești, Moldovian SSR, USSR",5 ft 3 in (1.60 m),115 lb (52 kg; 8.2 st),Strawweight[1],62 in (157 cm),"Judo, Karate"
Lando Vannata,"Landon Anthony Vannata[1] (1992-03-14) 14 March 1992 (age 27)Neptune City, New Jersey, United States",5 ft 9 in (1.75 m),155.8 lb (70.7 kg; 11.13 st),LightweightWelterweight,71 in (180 cm)[2],Not Available
Rani Yahya,"(1984-09-12) September 12, 1984 (age 34)Brasília, Brazil",5 ft 6 in (1.68 m),145 lb (66 kg; 10.4 st),Bantamweight  Featherweight  Lightweight,68 in (173 cm)[1],Not Available
Nadia Kassem,(1995-11-15) 15 November 1995 (age 23),5 ft 5 in (1.65 m),52 kg (115 lb; 8 st 3 lb),Strawweight,Not Available,"Boxing, BJJ"
Jimmy Crute,"(1996-03-04) 4 March 1996 (age 23)Singleton, New South Wales, Australia",6 ft 2 in (1.88 m),205 lb (93 kg; 14 st 9 lb),Light Heavyweight,72.5 in (184 cm)[1],Not Available
Sam Alvey,"(1986-05-06) May 6, 1986 (age 33)Waterford, Wisconsin, U.S.",6 ft 2 in (1.88 m)[1],206 lb (93 kg; 14 st 10 lb),Light Heavyweight(205lbs) Middleweight(185lbs) Welterweight(170lbs),75 1⁄2 in (192 cm),Not Available
Shane Young,"(1993-07-31) 31 July 1993 (age 25)Napier, New Zealand",5 ft 8 in (1.73 m),Not Available,Featherweight,Not Available,Not Available
Austin Arnett,"(1991-10-22) October 22, 1991 (age 27)Lewiston, Idaho, United States, United States[1]",6 ft 0 in (1.83 m),145 lb (66 kg; 10 st 5 lb),Featherweight  Lightweight,72[1] in (183 cm),Not Available
Kyung Ho Kang,"(1987-09-09) September 9, 1987 (age 31)Busan, South Korea[1]",5 ft 9 in (175 cm),135 lb (61 kg; 9 st 9 lb),Bantamweight (2011–present)  Featherweight (2009–2011)  Lightweight (2007–2008),72 in (183 cm)[2],"Ssireum, BJJ, Taekwondo"
Teruto Ishihara,"(1991-07-23) July 23, 1991 (age 27)Ōshima District, Kagoshima, Japan",5 ft 7 in (1.70 m)[1],135.5 lb (61.5 kg; 9.68 st),Bantamweight  Featherweight,69.0 in (175 cm)[1],"Shootfighting, Kickboxing"
Raphael Assunção,"(1982-07-19) July 19, 1982 (age 36)Recife, Pernambuco, Brazil",5 ft 5 1⁄2 in (1.66 m)[1],135 lb (61 kg; 9.6 st),Lightweight (2004–2006)Featherweight (2006–2011)Bantamweight (2011–present),66 1⁄2 in (169 cm)[1],"Muay Thai, Brazilian Jiu-Jitsu"
Lyman Good,"(1985-05-26) May 26, 1985 (age 34)Harlem, New York, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight (2009-present)Middleweight (2005-2008),74 in (188 cm),Not Available
David Teymur,"(1989-05-01) May 1, 1989 (age 30)[1]Järfälla, Sweden[1]",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st)[1],Lightweight,73 in (185 cm)[1],"Muay Thai, Kickboxing"
Justin Ledet,"Justin Wayne Ledet (1988-09-28) September 28, 1988 (age 30)Rosharon, Texas, United States",6 ft 4 in (1.93 m),204 lb (93 kg; 14.6 st),HeavyweightLight Heavyweight,80 in (203 cm),Not Available
Markus Perez,"(1990-06-22) June 22, 1990 (age 29)Sao Paulo, Brazil",6 ft 2 in (1.88 m),185 lb (84 kg; 13 st 3 lb),Middleweight,73 in (185 cm),"Brazilian Jiu-Jitsu, Kung-Fu, Muay Thai"
Mara Romero Borella,"Maria Chiara[1] (1986-06-03) 3 June 1986 (age 33)Ponte dell'Olio, Piacenza, Italy",5 ft 6 in (1.68 m),125 lb (57 kg; 8 st 13 lb),Bantamweight Flyweight,69[2] in (175 cm),"Judo, Kickboxing"
Thiago Alves,"Thiago Alves d'Araujo (1983-10-03) October 3, 1983 (age 35)Fortaleza, Brazil",5 ft 9 in (1.75 m)[1],170 lb (77 kg; 12 st 2 lb),"Lightweight (2016)Welterweight (2001–2015, 2017–present)",68 in (173 cm)[1],Not Available
T.J. Dillashaw,"(1986-02-07) February 7, 1986 (age 33 years)",5 ft 6 1⁄2 in (169 cm)],125 lbs,Bantamweight, ‎67 in (170 cm),Not Available
Gregor Gillespie,"(1987-03-18) March 18, 1987 (age 32)Webster, New York, United States",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),Lightweight,71 in (180 cm),Not Available
Yancy Medeiros,"(1987-09-07) September 7, 1987 (age 31)Wai'anae, Hawaii, United States",5 ft 10 in (1.78 m)[1],155.5 lb (70.5 kg; 11.11 st),Light HeavyweightMiddleweightWelterweightLightweight,75 1⁄2 in (192 cm),Not Available
Dustin Ortiz,"(1988-12-25) December 25, 1988 (age 30)Franklin, Tennessee, United States",5 ft 5 in (1.65 m)[1],125 lb (57 kg; 8 st 13 lb),Flyweight,65 in (165 cm)[2],Not Available
Paige VanZant,"Paige Michelle Sletten[1][2] (1994-03-26) March 26, 1994 (age 25)Dundee, Oregon, U.S.",5 ft 4 in (163 cm)[3],125[4] lb (57 kg; 8 st 13 lb),Strawweight (2012–2016)Flyweight (2017),65[5] in (165 cm),Not Available
Rachael Ostovich,"(1991-02-25) February 25, 1991 (age 28)Hawaii, United States",5 ft 3 in (1.60 m),125 lb (57 kg; 8.9 st),Flyweight,62 in (157 cm),Judo
Dennis Bermudez,"(1986-12-13) December 13, 1986 (age 32)Saugerties, New York, United States",5 ft 6 in (1.68 m)[1],145 lb (66 kg; 10 st 5 lb),"Lightweight (2009–2010, 2019 - present)  Featherweight (2011- 2018)",66 in (168 cm)[1],"Wrestling, Boxing"
Jon Jones,"Jonathan Dwight Jones[1][2] (1987-07-19) July 19, 1987 (age 32)[3]Rochester, New York, U.S.[4]",6 ft 4 in (193 cm)[5][8],205 lb (93 kg; 14.6 st)[9],Light heavyweight[5],84 1⁄2 in (215 cm)[10],"Wrestling, Gaidojutsu, Brazilian Jiu-Jitsu"
Amanda Nunes,"Amanda Lourenço Nunes (1988-05-30) May 30, 1988 (age 31)Salvador, Bahia, Brazil",5 ft 8 in (1.73 m)[1],135 lb (61 kg; 9.6 st),"Bantamweight (2011–present) [2]  Featherweight (2008–2011, 2018–present)",69 in (175 cm)[3],"Boxing, Brazilian Jiu-Jitsu, Judo, Capoeira, Muay Thai, Karate"
Carlos Condit,"Carlos Joseph Condit (1984-04-26) April 26, 1984 (age 35)Albuquerque, New Mexico, U.S.",6 ft 2 in (1.88 m)[1],170.5 lb (77 kg; 12 st 3 lb),Welterweight,75 1⁄2 in (192 cm)[1],"Kickboxing, Boxing, Gaidojutsu, Brazilian Jiu-Jitsu"
Corey Anderson,"(1989-09-22) September 22, 1989 (age 29)Rockford, Illinois, U.S.",6 ft 3 in (1.91 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight,79 in (201 cm)[2],"Boxing, Wrestling"
Ilir Latifi,"(1983-07-28) July 28, 1983 (age 35)Malmö, Sweden",5 ft 8 in (1.73 m)[1],205 lb (93 kg; 14.6 st),Light Heavyweight (2009-present)  Heavyweight (2008),73 in (185 cm)[1],"Boxing, Wrestling"
Chad Mendes,"Chad Mendes (1985-05-01) May 1, 1985 (age 34)Hanford, California, U.S.",5 ft 6 in (1.68 m)[1],145 lb (66 kg; 10 st 5 lb)[1],Featherweight,66 in (168 cm)[2],Not Available
Cat Zingano,"Cathilee Deborah Albert (1982-07-01) July 1, 1982 (age 37)Winona, Minnesota, U.S.",5 ft 6 in (1.68 m),135 lb (61 kg; 9.6 st),FlyweightBantamweightFeatherweight,68 in (173 cm),Not Available
Douglas Silva de Andrade,"(1985-06-22) June 22, 1985 (age 34)Castanhal, Pará, Brazil[1]",5 ft 7 in (1.70 m),61 kg (134 lb; 9 st 8 lb),Bantamweight,68 in (173 cm),"Boxing, BJJ"
Uriah Hall,"(1984-07-31) July 31, 1984 (age 34)Spanish Town, Jamaica",6 ft 0 in (1.83 m)[1],185 lb (84 kg; 13.2 st),Light Heavyweight (2005)Middleweight (2009–present),79 in (201 cm),"Karate, Kickboxing, Brazilian Jiu-Jitsu"
Siyar Bahadurzada,"(1984-04-17) April 17, 1984 (age 35)Kabul, Afghanistan",5 ft 11 in (1.80 m),186 lb (84 kg; 13 st 4 lb),"Light Heavyweight (2002–2003)  Middleweight (2003–2010, 2017)  Welterweight (2010–2016, 2018)",72 1⁄2 in (184 cm),Not Available
Brian Kelleher,"(1986-08-19) August 19, 1986 (age 32)Selden, New York, United States",5 ft 6 in (1.68 m),135 lb (61 kg; 9.6 st),BantamweightFeatherweight,66 in (168 cm) [1],Not Available
Rob Font,"(1987-06-25) June 25, 1987 (age 32)Leominster, Massachusetts, United States",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Bantamweight Featherweight Lightweight,71 1⁄2 in (182 cm)[1],Not Available
Sergio Pettis,"(1993-08-18) August 18, 1993 (age 25)Milwaukee, Wisconsin, United States",5 ft 6 in (1.68 m)[1],125 lb (57 kg; 8 st 13 lb),"Flyweight (125 lbs) (2012–2018)  Bantamweight (135 lbs) (formerly, 2018–present)",69 in (175 cm)[2],"Taekwondo, Kickboxing, Brazilian Jiu-Jitsu"
Drakkar Klose,"(1988-03-09) March 9, 1988 (age 31)Kalamazoo, Michigan, United States",5 ft 8 in (1.73 m),155 lb (70 kg; 11.1 st),Lightweight,70 in (178 cm),Not Available
Bobby Green,"Bobby Ray Green (1986-09-09) September 9, 1986 (age 32)San Bernardino, California, United States",5 ft 10 in (1.78 m)[1],156 lb (71 kg; 11.1 st),Lightweight Welterweight,71 in (180 cm)[1],"Boxing, Wrestling, Brazilian Jiu-Jitsu"
Joaquim Silva,"Joaquim Antônio Magalhães da Silva Netto (1989-02-05) February 5, 1989 (age 30)Anápolis, Goiás, Brazil",5 ft 8 in (1.73 m)[1],155 lb (70 kg; 11.1 st),Lightweight,69 in (175 cm)[1],"Brazilian Jiu-Jitsu, Muay Thai"
Trevor Smith,"(1981-01-05) January 5, 1981 (age 38)Vancouver, Washington, United States",6 ft 3 in (1.91 m)[1],185 lb (84 kg; 13.2 st),Middleweight Light heavyweight Heavyweight,75 in (191 cm)[1],Not Available
Chris de la Rocha,"(1979-05-15) 15 May 1979 (age 40)San Jose, California, Unites States[1]",6 ft 4 in (1.93 m),110 kg (243 lb; 17 st 5 lb),Heavyweight,80 in (203 cm),Not Available
Brian Ortega,"Brian Martin Ortega (1991-02-21) February 21, 1991 (age 28)Los Angeles, California, United States",5 ft 8 in (173 cm)[1],144.75 lb (66 kg; 10 st 5 lb),FeatherweightLightweight,69 in (175 cm)[1],"Brazilian Jiu-Jitsu, Boxing"
Valentina Shevchenko,"Valentina Shevchenko (1988-03-07) March 7, 1988 (age 31)Frunze, Kirghiz SSR, Soviet Union (now Bishkek, Kyrgyzstan)",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Bantamweight (MMA) Flyweight (MMA)  Lightweight (Muaythai),67 in (170 cm),"Muay Thai, Taekwondo, Boxing, Judo"
Joanna Jędrzejczyk,"Joanna Jędrzejczyk (1987-08-18) August 18, 1987 (age 31)Olsztyn, Poland",5 ft 6 in (168 cm),125 lb (57 kg; 8 st 13 lb),"Super Bantamweight (Kickboxing)  Featherweight (Kickboxing)  Strawweight (MMA) (2014–2018)  Flyweight (MMA) (2012–2014, 2018–present)",65 1⁄2 in (166 cm)[1],"Muay Thai, Kickboxing"
Hakeem Dawodu,"(1991-07-02) July 2, 1991 (age 28)Calgary, Alberta, Canada",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Featherweight,Not Available,"Muay Thai, Kickboxing"
Kyle Bochniak,"(1987-02-05) February 5, 1987 (age 32)Gloucester, Massachusetts, United States",5 ft 7 in (1.70 m)[1],145.2 lb (65.9 kg; 10.37 st),Featherweight,70.0 in (178 cm)[2],Not Available
Olivier Aubin-Mercier,"(1989-02-23) February 23, 1989 (age 30)Montreal, Quebec, Canada",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11 st 1 lb),LightweightWelterweight,70 1⁄2 in (179 cm)[2],Not Available
Chad Laprise,"(1986-07-23) July 23, 1986 (age 32)Chatham-Kent, Ontario, Canada",5 ft 10 in (1.78 m)[1],170 lb (77 kg; 12 st),LightweightWelterweight,71 in (180 cm)[2],Not Available
Maurício Rua,"(1981-11-25) 25 November 1981 (age 37)Curitiba, Brazil",6 ft 1 in (1.85 m)[1],205 lb (93 kg; 14 st 9 lb),Light heavyweight Heavyweight,76 in (193 cm)[2],"Muay Thai, Brazilian Jiu-Jitsu"
Tyson Pedro,"Tyson Pedro (1991-09-17) 17 September 1991 (age 27)[1]Sydney, New South Wales, Australia",6 ft 3 in (1.91 m),205.5 lb (93.2 kg; 14.68 st),Light heavyweight,79 in (201 cm),"Jiu-Jitsu, Kempo, Boxing"
Mark Hunt,"Mark Richard Hunt (1974-03-23) 23 March 1974 (age 45)South Auckland, New Zealand",5 ft 10 in (178 cm),265 lb (120 kg; 18 st 13 lb),Super Heavyweight (Kickboxing)  Heavyweight (MMA),72 in (183 cm)[1],Kickboxing
Jake Matthews,"Jake Aaron Matthews (1994-08-19) 19 August 1994 (age 24)Melbourne, Victoria, Australia",5 ft 11 1⁄2 in (1.82 m)[1],170 lb (77 kg; 12 st 2 lb),Lightweight (2014–2017)Welterweight (2012–2014) (2017–present),73 in (185 cm)[1],Not Available
Ben Nguyen,"(1988-08-03) August 3, 1988 (age 30)Sioux Falls, South Dakota, United States",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Flyweight Bantamweight,65 1⁄2 in (166 cm),"Taekwondo, Muay Thai, Judo, Brazilian Jiu-Jitsu"
Mizuto Hirota,"(1981-05-05) May 5, 1981 (age 38)[1]Isahaya, Nagasaki, Japan",5 ft 7 in (1.70 m)[2],70 kg (154 lb; 11 st 0 lb),Featherweight  Lightweight,67 in (170 cm)[2],Not Available
Bryan Caraway,"(1984-08-04) August 4, 1984 (age 34)Yakima, Washington, United States",5 ft 8 in (1.73 m)[1],135.5 lb (61.5 kg; 9.68 st),Bantamweight Featherweight,68 in (173 cm)[2],"Wrestling, Boxing, BJJ"
Ji Yeon Kim,"Kim Ji-yeon (1989-10-18) October 18, 1989 (age 29)Incheon, South Korea[1]",5 ft 7 in (1.70 m),56.7 kg (125 lb; 8 st 13 lb),Bantamweight (2013–2017)  Flyweight (2018–present),72[1] in (183 cm),"Sanda, Boxing, Hapkido, BJJ"
Rick Glenn,"(1989-04-12) April 12, 1989 (age 30)Marshalltown, Iowa, United States[1]",6 ft 0 in (1.83 m),70 kg (154 lb; 11 st 0 lb),Featherweight,70 in (178 cm)[1],"Wrestling, Boxing, BJJ"
Michel Batista,"Michel Batista Martínez (1984-04-20) 20 April 1984 (age 35)Camagüey, Cuba",6 ft 3 in (1.91 m),Not Available,Heavyweight,Not Available,"Wrestling, Freestyle"
Darrell Horcher,"(1987-07-28) July 28, 1987 (age 31)Chicago, Illinois, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight,72 in (183 cm),Not Available
Ricky Rainey,"(1983-06-29) June 29, 1983 (age 36)Gastonia, North Carolina, United States",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Welterweight,75 1⁄2 in (192 cm),Not Available
Li Jingliang,"Li Jingliang (1988-03-20) March 20, 1988 (age 31)Tacheng, Xinjiang, China",6 ft 0 in (1.83 m)[1],170 lb (77 kg; 12 st),Welterweight,72 in (183 cm)[2],Not Available
Kenan Song,"(1990-03-10) March 10, 1990 (age 29)Tangshan, Hebei, China",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,71.5 in (182 cm)[1],Sanshou and Wushu
Rashad Coulter,"(1981-11-27) November 27, 1981 (age 37)Chicago, Illinois, United States",5 ft 11 in (1.80 m)[1],208 lb (94 kg; 14.9 st),HeavyweightLight HeavyweightMiddleweight,76 in (190 cm)[2],Not Available
Jessica Aguilar,"(1982-05-08) May 8, 1982 (age 37)Poza Rica, Veracruz, Mexico[1]",5 ft 3 in (1.60 m)[2],115 lb (52 kg; 8.2 st),Strawweight,63 in (160 cm)[2],Not Available
Santiago Ponzinibbio,"(1986-09-26) September 26, 1986 (age 32)La Plata, Argentina",6 ft 0 in (1.83 m)[1],170 lb (77 kg; 12 st),Welterweight,73 in (185 cm)[2],"Kickboxing, Brazilian Jiu-Jitsu"
Neil Magny,"Aoutneil Magny (1987-08-03) August 3, 1987 (age 31)Brooklyn, New York, United States",6 ft 3 in (1.91 m)[1],170 lb (77 kg; 12 st),"Welterweight (2010–2011, 2013–present)  Middleweight (2011–2012)",80 in (203 cm)[2],Not Available
Guido Cannetti,"Guido Martín Cannetti Álvarez[1] (1979-12-19) December 19, 1979 (age 39)Mar del Plata, Buenos Aires, Argentina",5 ft 6 in (1.68 m),135 lb (61 kg),"Bantamweight (2013–present)Featherweight (2007–2010, 2012–2013) Lightweight (2010–2012)",68 in (173 cm),Muay Thai
Michel Prazeres,"(1981-07-25) July 25, 1981 (age 37)Belem, Pará, Brazil",5 ft 6 in (1.68 m),170 lb (77 kg; 12 st),Lightweight Welterweight,69 1⁄2 in (177 cm),Not Available
Bartosz Fabiński,"(1986-04-26) April 26, 1986 (age 33)Warsaw, Poland",6 ft 0 in (1.83 m),184 lb (83 kg; 13.1 st),"Welterweight, Middleweight",Not Available,Not Available
Ulka Sasaki,"(1989-10-07) October 7, 1989 (age 29)Numazu, Shizuoka, Japan",5 ft 10 in (1.78 m),126 lb (57 kg; 9.0 st),FeatherweightBantamweight Flyweight,71 in (180 cm)[1],"Wrestling, BJJ, Shootfighting"
Humberto Bandenay,"(1994-09-04) September 4, 1994 (age 24)",6 ft 1 in (1.85 m),136 lb (62 kg; 9 st 10 lb),Featherweight,71.5 in (182 cm),Not Available
Yair Rodríguez,"Yair Raziel Rodríguez Portillo[1][2] (1992-10-06) October 6, 1992 (age 26)[3]Parral, Chihuahua, Mexico",5 ft 10 1⁄2 in (1.79 m)[4],145 lb (66 kg; 10 st 5 lb),Featherweight,71 in (180 cm)[4],"Taekwondo, Boxing, Muay Thai, Submission Wrestling"
Michael Trizano,"(1991-12-31) December 31, 1991 (age 27)New York City, United States[1]",5 ft 11 in (1.80 m),145 lb (66 kg; 10 st 5 lb),Lightweight  Featherweight,73 in (185 cm)[1],Not Available
Amanda Cooper,"Amanda Bobby Cooper (1991-10-22) October 22, 1991 (age 27)Bath, Michigan, United States",5 ft 3 in (1.60 m),115 lb (52 kg; 8.2 st),Strawweight,64 in (163 cm),Boxing
Eric Shelton,"Eric Shelton (1991-02-02) February 2, 1991 (age 28)Lawton, Oklahoma, United States",5 ft 6 in (1.68 m),125 lb (57 kg; 8.9 st),Bantamweight Flyweight,68 in (173 cm),Not Available
Joby Sanchez,"(1991-06-24) June 24, 1991 (age 28)Albuquerque, New Mexico, United States",5 ft 6 in (1.68 m),125 lb (57 kg; 8 st 13 lb),FlyweightBantamweight,68 in (173 cm)[1],Not Available
Chris Weidman,"Christopher James Weidman (1984-06-17) June 17, 1984 (age 35)Baldwin, New York, U.S.",6 ft 2 in (188 cm),185 lb (84 kg; 13.2 st),Middleweight (2010–2019)Light Heavyweight (2019–present),78 in (198 cm)[1][2],"Wrestling, Kickboxing, Brazilian Jiu-Jitsu[3]"
Jason Knight,"Jason Knight (1992-07-14) July 14, 1992 (age 27)D'Iberville, Mississippi, United States",5 ft 10 in (1.78 m),145 lb (66 kg; 10.4 st),Featherweight (2009–present)Lightweight (2011–2014),71 in (180 cm),"Brazilian Jiu-Jitsu, boxing"
Ben Saunders,"(1983-04-13) April 13, 1983 (age 36)Fort Lauderdale, Florida, United States",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),Welterweight,77 1⁄2 in (197 cm),"Muay Thai, Brazilian Jiu-Jitsu"
Kurt Holobaugh,"(1986-09-08) September 8, 1986 (age 32)Denham Springs, Louisiana, United States",5 ft 11 in (1.80 m),146 lb (66 kg; 10.4 st),Featherweight  Lightweight,75.5 in (192 cm),Not Available
Artem Lobov,"Artem Lobov (1986-08-11) 11 August 1986 (age 32)Gorky, Russian SFSR, Soviet Union(now Nizhny Novgorod, Russia)",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight (145 lbs) Lightweight (155 lbs) Welterweight(170 lbs),65 in (165 cm)[2],Not Available
Alex Garcia,"Lenin Billy Garcia Ciriaco[1] (1987-07-14) July 14, 1987 (age 31)Santiago, Dominican Republic",5 ft 9 in (1.75 m)[2],170 lb (77 kg; 12 st 2 lb),Welterweight,72 in (183 cm)[3],"Kickboxing, Submission Wrestling"
Sean Strickland,"(1991-02-27) February 27, 1991 (age 28)New Bern, North Carolina, United States",6 ft 1 in (1.85 m)[1],170 lb (77 kg; 12 st),Welterweight Middleweight,76 in (193 cm)[2],Not Available
Nasrat Haqparast,"(1995-08-22) August 22, 1995 (age 23)Hamburg, Germany[1]",5 ft 10 in (1.78 m),Not Available,Lightweight,72[1] in (183 cm),MMA[1]
Thibault Gouti,"Thibault Gouti (1987-02-27) February 27, 1987 (age 32)Toulouse, France[1]",5 ft 10 in (1.78 m),155 lb (70 kg; 11 st 1 lb),Lightweight,72 in (183 cm),Not Available
Talita Bernardo,"(1987-03-04) March 4, 1987 (age 32)Macaé, Rio de Janeiro, Brazil[1][2]",5 ft 4 in (1.63 m),135 lb (61 kg; 9 st 9 lb),BantamweightBantamweight,68[1] in (173 cm),BJJ[1]
Jessin Ayari,"(1992-05-31) May 31, 1992 (age 27)Tunisia",6 ft 0 in (1.83 m),170.0 lb (77.1 kg; 12.14 st),Welterweight,73 in (185 cm)[1],"Sambo, Kickboxing, BJJ[2]"
Conor McGregor,"Conor Anthony McGregor (1988-07-14) 14 July 1988 (age 31)Crumlin, Dublin, Ireland",5 ft 9 in (175 cm)[1],155 lb (70 kg; 11 st 1 lb)[1],"Featherweight (2008–2015)Lightweight (2008–2012, 2016–)Welterweight (2016)",74 in (188 cm)[1][2],Boxing
Alexander Volkov,"(1988-10-24) October 24, 1988 (age 30)Moscow, Russian SFSR, Soviet Union",2.00 m (6 ft 6 1⁄2 in),113 kg (249 lb),Heavyweight,81 in (206 cm),"Karate, Kickboxing"
Felice Herrig,"Felice Nicole Herrig[1] (1984-09-18) September 18, 1984 (age 34)Buffalo Grove, Illinois, United States",5 ft 4 in (1.63 m),115 lb (52 kg; 8.2 st),Strawweight[1],65 in (165 cm)[2],"Muay Thai, Kickboxing, Brazilian Jiu-Jitsu[1]"
Alan Patrick,"Alan Patrick Silva Alves (1983-07-09) July 9, 1983 (age 36)Manaus, Amazonas, Brazil",5 ft 11 in (180 cm),156 lb (71 kg; 11 st 2 lb),Lightweight,74 in (188 cm)[1],Not Available
Gray Maynard,"Bradley Gray Maynard (1979-05-09) May 9, 1979 (age 40)Phoenix, Arizona, United States",5 ft 8 in (173 cm)[1],145.5 lb (66 kg; 10 st 6 lb),Featherweight Lightweight,70 in (178 cm)[2],"Boxing, Wrestling"
Tony Martin,"(1989-12-11) December 11, 1989 (age 29)Palos Heights, Illinois, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),WelterweightLightweight,73 1⁄2 in (187 cm)[2],Not Available
Ryan LaFlare,"(1983-10-01) October 1, 1983 (age 35)Lindenhurst, New York, United States",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Welterweight,74 in (188 cm),Not Available
Antônio Rogério Nogueira,"Antônio Rogério Nogueira (1976-06-02) 2 June 1976 (age 43)Vitória da Conquista, Bahia, Brazil",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight,75 in (191 cm)[2],"Boxing, Brazilian Jiu-Jitsu"
Evan Dunham,"(1981-12-18) December 18, 1981 (age 37)Eugene, Oregon, U.S.",5 ft 10 in (1.78 m)[1],70 kg (154 lb; 11 st 0 lb),Lightweight,70 in (178 cm)[1],"Wrestling, Boxing"
Chase Sherman,"(1989-11-16) November 16, 1989 (age 29)D'Iberville, Mississippi, United States",6 ft 4 in (1.93 m),252 lb (114 kg; 18.0 st),Heavyweight,78 in (198 cm),Not Available
Thales Leites,"Thales Leites Lourenço (1981-09-06) 6 September 1981 (age 37)Niterói, Rio de Janeiro, Brazil",6 ft 1 in (1.85 m)[1],186 lb (84 kg; 13.3 st),Middleweight,78 in (198 cm)[1],"Brazilian Jiu-Jitsu, Muay Thai"
Hector Lombard,"(1978-02-02) 2 February 1978 (age 41)Matanzas, Cuba",5 ft 9 in (175 cm),185 lb (84 kg; 13 st 3 lb),"Welterweight (2013–2016)  Middleweight (2006–2013, 2016–present)  Light Heavyweight (2004–2006)",71 in (180 cm)[4],"Judo, Kickboxing, Brazilian Jiu-Jitsu, Savate"
Alex Chambers,"Alexandra Chambers (1978-10-28) 28 October 1978 (age 40)New South Wales, Australia",5 ft 3 in (1.60 m)[3],115 lb (52 kg; 8.2 st),Strawweight  Atomweight,63 in (160 cm)[4],Not Available
Kajan Johnson,"(1984-04-21) April 21, 1984 (age 35)Burns Lake, British Columbia, Canada",5 ft 11 in (1.80 m)[1],155 lb (70 kg; 11 st 1 lb),Lightweight,74 in (188 cm),Not Available
Mairbek Taisumov,"(1988-08-08) August 8, 1988 (age 30) [1]Grozny, Chechen-Ingush ASSR, Russian SFSR, Soviet Union",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,73 in (185 cm)[2],Not Available
Jordan Johnson,"(1988-11-18) November 18, 1988 (age 30)Richmond, Virginia, United States",6 ft 2 in (1.88 m),205.5 lb (93.2 kg; 14.68 st),"Light heavyweight (2014-2018, 2019-present)  Middleweight (2018)",79 in (201 cm),Not Available
Ramazan Emeev,"Ramazan Dadaevich Emeev (1987-05-20) May 20, 1987 (age 32) [1]Dylym, Kazbekovsky District,  Dagestan ASSR, Russian SFSR, Soviet Union",5 ft 10 in (1.78 m) [1],170 lb (77 kg; 12 st) [1],Middleweight [1]  Welterweight (2018-present),Not Available,"Sambo, Freestyle wrestling"
